source,year,heroic_total,nuisance_total,culinary_total,sport_total,hunting_total,mean_net_tone,n_articles,heroic_rate,nuisance_rate,culinary_rate,sport_rate,hunting_rate,signed_tone_rate,total_loaded,positivity_ratio
ChroniclingAmerica,1880,1.875,0.0,0.0,4.0,12.625,0.008333333333333333,240,0.0078125,0.0,0.0,0.016666666666666666,0.05260416666666667,0.0078125,1.875,1.0
ChroniclingAmerica,1881,0.9375,0.0,0.9375,1.0,1.9375,0.004166666666666667,240,0.00390625,0.0,0.00390625,0.004166666666666667,0.008072916666666667,0.00390625,0.9375,1.0
ChroniclingAmerica,1882,0.0,2.625,0.0,1.5,3.75,-0.0125,240,0.0,0.0109375,0.0,0.00625,0.015625,-0.0109375,2.625,0.0
ChroniclingAmerica,1883,1.9375,0.0,2.5625,2.125,2.8125,0.0125,240,0.008072916666666667,0.0,0.010677083333333334,0.008854166666666666,0.01171875,0.008072916666666667,1.9375,1.0
ChroniclingAmerica,1884,5.125,0.0,0.0,1.1875,3.3125,0.008333333333333333,240,0.021354166666666667,0.0,0.0,0.0049479166666666664,0.013802083333333333,0.021354166666666667,5.125,1.0
ChroniclingAmerica,1885,8.1875,0.0,0.0,3.3125,3.75,0.008333333333333333,240,0.03411458333333333,0.0,0.0,0.013802083333333333,0.015625,0.03411458333333333,8.1875,1.0
ChroniclingAmerica,1886,12.25,3.625,0.0,9.6875,0.0,0.029166666666666667,240,0.051041666666666666,0.015104166666666667,0.0,0.040364583333333336,0.0,0.0359375,15.875,0.7716535433070866
ChroniclingAmerica,1887,3.0,0.9375,2.6875,2.125,7.75,0.008333333333333333,240,0.0125,0.00390625,0.011197916666666667,0.008854166666666666,0.03229166666666667,0.00859375,3.9375,0.7619047619047619
ChroniclingAmerica,1888,4.6875,0.375,4.1875,1.375,9.125,0.004166666666666667,240,0.01953125,0.0015625,0.017447916666666667,0.005729166666666666,0.03802083333333333,0.01796875,5.0625,0.9259259259259259
ChroniclingAmerica,1889,19.75,1.25,0.0,4.625,6.125,0.029166666666666667,240,0.08229166666666667,0.005208333333333333,0.0,0.019270833333333334,0.025520833333333333,0.07708333333333334,21.0,0.9404761904761905
ChroniclingAmerica,1890,11.6875,0.0,0.0,6.5625,10.375,0.025,240,0.04869791666666667,0.0,0.0,0.02734375,0.043229166666666666,0.04869791666666667,11.6875,1.0
ChroniclingAmerica,1891,15.0625,1.875,10.0,14.3125,3.5625,0.05,240,0.06276041666666667,0.0078125,0.041666666666666664,0.05963541666666667,0.01484375,0.054947916666666666,16.9375,0.8892988929889298
ChroniclingAmerica,1892,6.5625,1.9375,17.875,7.0,5.1875,0.016666666666666666,240,0.02734375,0.008072916666666667,0.07447916666666667,0.029166666666666667,0.021614583333333333,0.019270833333333334,8.5,0.7720588235294118
ChroniclingAmerica,1893,17.5625,4.25,4.8125,11.3125,4.125,0.03333333333333333,240,0.07317708333333334,0.017708333333333333,0.020052083333333335,0.047135416666666666,0.0171875,0.055468750000000004,21.8125,0.8051575931232091
ChroniclingAmerica,1894,21.75,0.8125,3.5,3.8125,8.3125,0.029166666666666667,240,0.090625,0.0033854166666666668,0.014583333333333334,0.015885416666666666,0.03463541666666667,0.08723958333333333,22.5625,0.96398891966759
ChroniclingAmerica,1895,20.625,1.0,9.0625,22.75,7.375,0.04583333333333333,240,0.0859375,0.004166666666666667,0.037760416666666664,0.09479166666666666,0.030729166666666665,0.08177083333333333,21.625,0.953757225433526
