source,era,heroic_total,nuisance_total,culinary_total,sport_total,hunting_total,n_articles,heroic_rate,nuisance_rate,culinary_rate,sport_rate,hunting_rate,signed_tone_rate
ChroniclingAmerica,Hoving era,2.1875,2.375,1.6875,5.0,1.1875,240,0.009114583333333334,0.009895833333333333,0.00703125,0.020833333333333332,0.0049479166666666664,-0.000781249999999999
ChroniclingAmerica,Interwar,417.4375,21.5625,55.0,257.375,58.5,4760,0.0876969537815126,0.004529936974789916,0.011554621848739496,0.054070378151260506,0.012289915966386554,0.08316701680672269
ChroniclingAmerica,Post-war,95.375,25.25,30.0,99.9375,62.1875,4074,0.0234106529209622,0.006197839960726558,0.007363770250368188,0.024530559646539028,0.01526448208149239,0.017212812960235642
ChroniclingAmerica,Pre-WWI,435.875,43.75,151.375,362.25,206.25,8160,0.053416053921568625,0.005361519607843137,0.018550857843137255,0.04439338235294118,0.025275735294117647,0.048054534313725486
ChroniclingAmerica,WWI,115.1875,22.0625,49.875,132.5625,38.75,1180,0.09761652542372881,0.018697033898305085,0.04226694915254237,0.11234110169491525,0.03283898305084746,0.07891949152542373
ChroniclingAmerica,WWII,143.9375,10.0625,14.125,74.875,14.4375,1680,0.08567708333333333,0.005989583333333334,0.008407738095238095,0.04456845238095238,0.00859375,0.0796875
NYT,Hoving era,38.5625,27.5,6.1875,48.625,26.875,1356,0.028438421828908555,0.02028023598820059,0.004563053097345133,0.035859144542772864,0.019819321533923302,0.008158185840707963
NYT,Interwar,760.6875,42.6875,30.4375,345.0625,125.25,3558,0.21379637436762225,0.01199761101742552,0.008554665542439574,0.09698215289488477,0.03520236087689713,0.20179876335019672
NYT,Post-war,224.75,26.9375,23.25,90.9375,45.8125,2103,0.10687113647170708,0.012809082263433191,0.011055634807417974,0.04324179743223966,0.021784355682358536,0.09406205420827389
NYT,Pre-WWI,258.75,10.25,102.0,296.875,329.0625,2356,0.10982597623089983,0.004350594227504245,0.0432937181663837,0.12600806451612903,0.13966999151103565,0.10547538200339558
NYT,Urban-pest era,65.8125,42.75,13.8125,45.125,39.125,2769,0.023767605633802816,0.01543878656554713,0.004988262910798122,0.016296496930299748,0.014129649693029975,0.008328819068255687
NYT,WWI,82.375,2.1875,21.4375,36.5625,7.1875,521,0.15810940499040307,0.004198656429942419,0.0411468330134357,0.07017754318618043,0.013795585412667946,0.15391074856046066
NYT,WWII,289.9375,29.6875,12.5625,97.5,46.4375,873,0.33211626575028635,0.034006300114547534,0.014390034364261168,0.11168384879725086,0.05319301260022909,0.2981099656357388
