word,total_chronam,pre-WWI (1880-1913),wartime (1914-1945),post-war (1946-1963)
bird,724,315,318,91
one,528,196,267,65
carrier,496,206,256,34
fee,398,6,320,72
homing,371,133,207,31
sur,332,1,276,55
new,331,138,150,43
home,294,88,152,54
two,273,105,128,40
day,242,104,100,38
little,236,119,109,8
state,234,72,113,49
time,226,83,107,36
house,224,106,94,24
war,220,59,148,13
tho,217,159,56,2
stool,216,50,139,27
year,215,104,70,41
first,213,85,86,42
said,212,65,124,23
many,196,86,84,26
may,189,53,108,28
wild,186,144,34,8
fancier,184,96,75,13
mile,180,76,74,30
last,176,63,85,28
frk,173,0,156,17
show,170,79,60,31
fly,169,91,60,18
white,169,42,100,27
message,167,41,116,10
ing,167,81,65,21
man,167,59,79,29
poultry,167,107,56,4
john,167,19,100,48
made,165,69,70,26
like,161,41,97,23
make,157,90,56,11
loft,155,71,70,14
racing,152,19,105,28
great,151,90,57,4
world,148,53,71,24
service,146,50,85,11
race,145,29,92,24
way,144,61,63,20
good,144,69,56,19
shooting,143,105,16,22
club,141,50,74,17
city,140,47,73,20
would,140,66,59,15
place,139,62,64,13
men,138,46,84,8
york,135,54,68,13
week,135,32,78,25
work,134,52,73,9
old,131,45,66,20
long,131,67,46,18
back,127,30,77,20
get,127,49,49,29
near,127,33,73,21
united,126,30,82,14
miss,123,27,87,9
flight,123,62,50,11
well,123,43,55,25
know,118,41,47,30
used,118,27,71,20
say,116,63,33,20
street,115,45,57,13
boy,115,66,29,20
take,111,50,45,16
large,109,48,55,6
river,105,19,66,20
must,105,53,43,9
number,105,40,58,7
flock,105,71,30,4
point,104,50,42,12
part,104,34,55,15
found,103,38,49,16
lot,103,23,77,3
young,102,27,56,19
best,101,37,52,12
army,101,19,60,22
squab,101,29,71,1
dance,101,0,1,100
today,98,27,53,18
news,98,33,48,17
life,97,23,52,22
blair,97,1,88,8
laurel,95,1,81,13
country,94,43,42,9
away,94,54,31,9
come,94,39,37,18
sunday,93,21,44,28
clay,93,25,13,55
sport,93,43,37,13
washington,93,11,47,35
known,92,47,36,9
car,92,29,48,15
keep,92,50,38,4
trace,92,3,77,12
line,92,38,48,6
passenger,91,37,37,17
american,91,19,63,9
use,91,50,33,8
far,90,62,22,6
egg,90,23,49,18
county,90,22,47,21
flying,90,47,29,14
morning,90,41,40,9
police,89,25,45,19
find,89,44,32,13
story,89,25,51,13
baisden,89,0,82,7
see,88,48,22,18
family,88,48,21,19
district,88,10,52,26
hour,87,24,31,32
taken,87,28,45,14
ever,87,37,41,9
record,86,37,42,7
also,85,25,39,21
tax,84,0,73,11
even,84,43,30,11
game,84,45,20,19
creek,84,7,42,35
hole,83,32,21,30
breeder,83,16,65,2
mean,82,31,49,2
ago,82,34,28,20
could,81,47,26,8
school,81,33,36,12
raising,80,43,30,7
lts,79,0,46,33
girl,79,37,31,11
kind,79,55,20,4
farm,79,39,21,19
land,78,26,46,6
put,78,43,27,8
dove,78,19,54,5
brought,77,34,43,0
field,76,26,43,7
came,76,24,41,11
george,75,17,43,15
head,75,32,30,13
brown,75,7,53,15
without,75,50,19,6
much,74,36,31,7
person,74,33,29,12
seen,74,24,47,3
leg,74,31,40,3
